"x"
"food crime;Generic Fraud"
"food fraud;Generic Fraud"
"food scandal;Generic Fraud"
"food adulteration;Generic Fraud"
"food safety violation;Generic Fraud"
"food mislabeling;Generic Fraud"
"food contamination;Generic Fraud"
"food tampering;Generic Fraud"
"food counterfeiting;Generic Fraud"
"food theft;Generic Fraud"
"illegal food trade;Generic Fraud"
"expired food sale;Generic Fraud"
"food smuggling;Generic Fraud"
"unapproved food additives;Generic Fraud"
"meat fraud;Generic Fraud"
"seafood fraud;Generic Fraud"
"dairy fraud;Generic Fraud"
"organic food fraud;Generic Fraud"
"processed food fraud;Generic Fraud"
"honey adulteration;Generic Fraud"
"olive oil fraud;Generic Fraud"
"wine fraud;Generic Fraud"
"food fraud detection;Generic Fraud"
"food crime prevention;Generic Fraud"
"food authenticity testing;Generic Fraud"
"anti-food fraud technology;Generic Fraud"
"food fraud traceability;Generic Fraud"
"Ingredient substitution;Generic Fraud"
